,Code,Name,Close,ChangeCode,Changes,ChagesRatio,Amount,Marcap,Stocks,BPS,PER,PBR,EPS,DIV,DPS
180,285130,SK케미칼,53700,2,-300,-0.56,1025341800,926528147100,17253783,110405,25.92,0.49,2072,1.21,650
181,001800,오리온홀딩스,14790,2,-60,-0.4,628104570,926525791380,62645422,36513,10.39,0.41,1423,5.07,750
182,192080,더블유게임즈,43100,2,-700,-1.6,3397425400,926473548600,21495906,44663,5.65,0.97,7635,2.32,1000
183,039130,하나투어,56600,2,-1000,-1.74,4522734800,907817871000,16039185,10998,18.64,5.15,3036,8.83,5000
184,008730,율촌화학,34100,1,1900,5.9,5392724100,845680000000,24800000,12349,0.0,2.76,0,0.73,250
185,001680,대상,24000,1,250,1.05,8025374850,831552600000,34648025,36679,12.89,0.65,1862,3.33,800
186,178920,PI첨단소재,28100,1,1550,5.84,9853955150,825193648200,29366322,10724,0.0,2.62,0,0.0,0
187,001430,세아베스틸지주,22900,1,100,0.44,1568330900,821242525100,35862119,54525,6.4,0.42,3576,5.24,1200
188,093370,후성,7600,2,-30,-0.39,9773930090,815140508000,107255330,3235,0.0,2.35,0,0.0,0
189,105630,한세실업,20250,2,-50,-0.25,1229363000,810000000000,40000000,16345,7.11,1.24,2850,2.47,500
190,114090,GKL,13080,2,-230,-1.73,1788002760,809072163600,61855670,6658,18.45,1.96,709,2.7,353
191,020560,아시아나항공,10600,2,-100,-0.93,1400309630,788764698400,74411764,9138,27.46,1.16,386,0.0,0
192,069260,TKG휴켐스,19130,2,-190,-0.98,1036800280,782007388440,40878588,21904,5.45,0.87,3512,5.23,1000
193,009900,명신산업,14650,2,-180,-1.21,1409580860,768687448450,52470133,10199,5.04,1.44,2909,0.68,100
194,010780,아이에스동서,25000,2,-300,-1.19,1504030250,754674400000,30186976,51629,4.68,0.48,5338,6.0,1500
195,032350,롯데관광개발,9730,2,-260,-2.6,5431840560,741288505370,76185869,913,0.0,10.66,0,0.0,0
196,000670,영풍,375000,1,5000,1.35,963490000,690765000000,1842040,2216785,0.0,0.17,0,2.67,10000
197,016380,KG스틸,6890,1,120,1.77,3672653580,689061300330,100008897,18893,2.94,0.36,2342,2.9,200
198,005250,녹십자홀딩스,14240,2,-220,-1.52,608767590,669681710400,47028210,21591,0.0,0.66,0,2.11,300
199,019170,신풍제약,12570,2,-180,-1.41,2004055450,666021324300,52984990,5259,0.0,2.39,0,0.0,0
